variant,seed,minute,character,room,action,target,motive,urgency,resolution,margin,outcome
daniel_ate_it,1,1,daniel,kitchen,check_pantry,,find_out,0.982,clear,0.179,found 2 portions left
daniel_ate_it,1,1,elena,kitchen,comfort,daniel,look_after:daniel,0.877,too_close,0.000,sat with daniel
daniel_ate_it,1,1,leo,kitchen,check_pantry,,guard_supplies,0.850,clear,0.252,found 2 portions left
daniel_ate_it,1,1,mara,kitchen,comfort,elena,look_after:elena,0.922,too_close,0.007,
daniel_ate_it,1,4,daniel,kitchen,search_room,,find_out,0.982,clear,0.508,went through the room
daniel_ate_it,1,4,leo,kitchen,wait,,keep_peace,0.942,too_close,0.062,stayed where they were
daniel_ate_it,1,9,daniel,kitchen,search_room,,find_out,0.982,clear,0.644,"thought again, and carried on"
daniel_ate_it,1,9,elena,kitchen,check_pantry,,guard_supplies,0.850,clear,0.194,found 2 portions left
daniel_ate_it,1,9,leo,kitchen,wait,,keep_peace,0.877,clear,0.085,"thought again, and carried on"
daniel_ate_it,1,9,mara,kitchen,check_pantry,,find_out,0.592,clear,0.217,found 2 portions left
daniel_ate_it,1,10,leo,kitchen,wait,,keep_peace,0.864,too_close,0.078,stayed where they were
daniel_ate_it,1,12,daniel,kitchen,go_to,back_room,find_out,0.982,clear,0.213,went to back_room
daniel_ate_it,1,12,elena,kitchen,check_pantry,,guard_supplies,0.850,clear,0.183,"thought again, and carried on"
daniel_ate_it,1,12,mara,kitchen,search_room,,find_out,0.592,clear,0.249,went through the room
daniel_ate_it,1,13,elena,kitchen,wait,,keep_peace,0.972,clear,0.301,stayed where they were
daniel_ate_it,1,15,leo,kitchen,search_room,,find_out,0.705,too_close,0.054,
daniel_ate_it,1,16,daniel,back_room,search_room,,find_out,0.982,clear,0.635,went through the room
daniel_ate_it,1,18,elena,kitchen,wait,,keep_peace,0.948,clear,0.298,
daniel_ate_it,1,20,elena,kitchen,comfort,mara,look_after:mara,0.877,clear,0.231,sat with mara
daniel_ate_it,1,20,leo,kitchen,wait,,keep_peace,0.964,too_close,0.003,stayed where they were
daniel_ate_it,1,20,mara,kitchen,comfort,elena,look_after:elena,0.922,clear,0.416,
daniel_ate_it,1,24,daniel,back_room,go_to,kitchen,get_food,0.660,too_close,0.019,went to kitchen
daniel_ate_it,1,25,leo,kitchen,wait,,keep_peace,0.903,clear,0.091,stayed where they were
daniel_ate_it,1,28,daniel,kitchen,go_to,bathroom,find_out,0.982,clear,0.140,went to bathroom
daniel_ate_it,1,28,elena,kitchen,wait,,keep_peace,0.945,clear,0.298,stayed where they were
